Encounter;Tier;Enemies;Threat;EnemyHP;ClearRate;AvgHpCostOnClear%;AvgFightSec;Timeout%;ControlClear;ControlHpCost%;FailedBy
DummyPair;Special;2;0;2400;1;12.412;6.8;0;да;13.158;
DummyScatter;Special;4;0;4800;1;42.201;13.588;0;да;47.368;
DummyTrio;Special;3;0;3600;1;26.864;10.406;0;да;28.947;
GoblinAmbush;Common;4;6;2800;1;16.519;9;0;да;17.632;
GoblinRaid;Elite;7;12;5240;1;41.957;16.803;0;да;46.776;
GoblinScouts;Common;3;3;2400;1;6.975;7.606;0;да;7.697;
GoblinSkirmishLine;Common;3;7;2240;1;11.324;7.797;0;да;10.526;
GoblinWarband;Common;4;7;3320;1;16.402;10.806;0;да;18.026;
