Encounter;Tier;Enemies;Threat;EnemyHP;ClearRate;AvgHpCostOnClear%;AvgFightSec;Timeout%;ControlClear;ControlHpCost%;FailedBy
DummyPair;Special;2;0;2400;1;12.262;6.915;0;да;13.158;
DummyScatter;Special;4;0;4800;1;37.528;13.664;0;да;40.789;
DummyTrio;Special;3;0;3600;1;24.497;10.779;0;да;23.684;
GoblinAmbush;Common;4;6;2800;1;16.433;9.233;0;да;16.776;
GoblinRaid;Elite;7;12;5240;1;43.201;17.233;0;да;46.645;
GoblinScouts;Common;3;3;2400;1;7.04;7.545;0;да;7.697;
GoblinSkirmishLine;Common;3;7;2240;1;11.306;7.836;0;да;11.316;
GoblinWarband;Common;4;7;3320;1;16.355;11.052;0;да;17.237;
